AGEP,SEX,SCHL,MAR,OCCP,WKHP,COW,CIT,RAC1P,DIS,HICOV,NATIVITY,income_label
64,1,23,1,3100,60,4,1,1,2,1,1,1
61,2,21,1,4230,6,6,1,9,2,2,1,0
64,2,17,2,4120,40,1,1,1,1,1,1,0
26,2,19,5,6260,35,7,1,2,2,1,1,0
17,2,15,5,4720,30,1,1,9,2,1,1,0
62,2,21,1,10,40,7,1,1,2,1,1,0
25,2,16,1,5740,15,1,1,9,2,1,1,0
22,2,20,5,3421,30,1,1,1,2,1,1,0
67,1,19,1,3725,40,1,1,2,2,1,1,1
71,2,24,3,2002,40,4,1,2,2,1,1,1
59,1,11,1,9130,40,1,1,2,2,1,1,0
26,2,21,1,3422,34,2,4,1,1,1,2,0
17,1,13,5,4720,8,1,1,9,2,1,1,0
24,1,21,5,800,50,1,1,1,2,1,1,1
4,1,1,5,4120,40,1,1,1,2,1,1,0
53,1,15,5,5940,40,1,1,1,2,1,1,0
17,2,14,5,4120,40,1,1,2,2,1,1,0
80,1,13,2,4120,40,1,1,1,1,1,1,0
32,2,19,1,5740,40,1,1,9,2,1,1,1
58,2,20,3,2545,30,5,1,2,2,1,1,0
5,1,3,5,4120,40,1,1,9,2,1,1,0
67,2,21,5,2320,6,2,1,1,2,1,1,0
69,2,16,3,4120,40,1,1,1,2,1,1,0
44,2,16,3,4760,40,1,1,1,1,1,1,0
52,1,16,5,3601,40,1,1,1,2,1,1,0
64,1,1,4,4120,40,1,1,1,2,1,1,0
60,1,18,3,7330,45,1,1,1,2,1,1,1
47,2,16,3,8990,36,1,1,1,2,2,1,0
39,1,21,4,4120,40,1,1,1,2,1,1,0
62,1,15,1,205,60,6,1,1,2,1,1,0
51,1,19,5,1430,48,1,1,1,2,1,1,1
29,1,19,1,8140,40,1,1,1,2,1,1,0
35,1,18,1,3720,99,3,1,1,2,1,1,0
31,2,13,3,4120,40,1,1,9,2,1,1,0
3,1,1,5,4120,40,1,1,9,2,1,1,0
57,1,16,5,7750,2,1,1,1,2,2,1,0
33,2,17,5,4120,40,1,1,2,2,1,1,0
69,1,18,3,4120,40,1,1,1,2,1,1,0
75,2,12,2,4120,40,1,1,1,1,1,1,0
53,1,18,1,7140,40,5,1,1,2,1,1,1
71,2,21,3,4120,40,1,1,1,2,1,1,0
14,1,9,5,4120,40,1,1,1,2,1,1,0
66,1,16,2,4120,40,1,1,1,1,1,1,1
62,2,20,5,5220,40,3,1,1,2,1,1,0
81,2,16,2,410,40,1,1,1,2,1,1,0
42,1,19,4,4251,30,1,5,8,1,2,2,0
22,1,19,5,4020,30,1,1,1,2,1,1,0
